09-08-2024 03:49:52 RAM 13130/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [50%@2201,100%@2201,0%@2201,0%@2201,0%@1113,0%@1113,0%@1113,0%@1113,0%@1036,0%@1036,0%@1036,0%@1036] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.937C tboard@29.375C soc2@37.312C tdiode@30.25C soc0@36.843C gpu@35.968C tj@40.937C soc1@35.937C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2732mW VIN_SYS_5V0 3533mW/3569mW VDDQ_VDD2_1V8AO 706mW/793mW
09-08-2024 03:49:52 RAM 13132/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@806,0%@806,0%@806,0%@806,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.906C tboard@29.375C soc2@37.187C tdiode@30.25C soc0@36.875C gpu@35.875C tj@40.906C soc1@35.937C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2787mW VIN_SYS_5V0 3533mW/3568mW VDDQ_VDD2_1V8AO 706mW/789mW
09-08-2024 03:49:52 RAM 13134/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.687C tboard@29.375C soc2@37.093C tdiode@30.25C soc0@36.875C gpu@35.875C tj@40.687C soc1@36C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2837mW VIN_SYS_5V0 3533mW/3566mW VDDQ_VDD2_1V8AO 706mW/785mW
09-08-2024 03:49:52 RAM 13135/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [50%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.656C tboard@29.375C soc2@37.031C tdiode@30.25C soc0@36.812C gpu@36.031C tj@40.656C soc1@36C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3984mW/2882mW VIN_SYS_5V0 3533mW/3565mW VDDQ_VDD2_1V8AO 706mW/782mW
09-08-2024 03:49:52 RAM 13138/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@883,0%@883,0%@883,0%@883,0%@1574,0%@729,50%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.718C tboard@29.375C soc2@37.156C tdiode@30.25C soc0@36.906C gpu@36.187C tj@40.718C soc1@35.968C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/2909mW VIN_SYS_5V0 3533mW/3564mW VDDQ_VDD2_1V8AO 706mW/779mW
09-08-2024 03:49:52 RAM 13139/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [50%@2201,100%@2201,0%@2201,50%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.656C tboard@29.375C soc2@37.093C tdiode@30.25C soc0@36.906C gpu@36.031C tj@40.656C soc1@36.031C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/2934mW VIN_SYS_5V0 3533mW/3562mW VDDQ_VDD2_1V8AO 706mW/777mW
09-08-2024 03:49:52 RAM 13140/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.625C tboard@29.375C soc2@37.125C tdiode@30.25C soc0@36.812C gpu@35.875C tj@40.625C soc1@36C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/2958mW VIN_SYS_5V0 3533mW/3561mW VDDQ_VDD2_1V8AO 706mW/774mW
09-08-2024 03:49:52 RAM 13141/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.625C tboard@29.375C soc2@37.125C tdiode@30.25C soc0@36.906C gpu@35.906C tj@40.625C soc1@36C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/2979mW VIN_SYS_5V0 3533mW/3560mW VDDQ_VDD2_1V8AO 706mW/772mW
09-08-2024 03:49:52 RAM 13142/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,33%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.593C tboard@29.375C soc2@37.062C tdiode@30.25C soc0@36.875C gpu@36.218C tj@40.593C soc1@36.031C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/2999mW VIN_SYS_5V0 3533mW/3559mW VDDQ_VDD2_1V8AO 706mW/769mW
09-08-2024 03:49:52 RAM 13144/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.625C tboard@29.375C soc2@37.093C tdiode@30.25C soc0@36.906C gpu@35.937C tj@40.625C soc1@36.031C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/3018mW VIN_SYS_5V0 3533mW/3559mW VDDQ_VDD2_1V8AO 706mW/767mW
