09-08-2024 03:37:41 RAM 13068/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1651,0%@1651,0%@1651,0%@1651,0%@2201,100%@2201,0%@2201,50%@2201,0%@1267,0%@1267,0%@1267,0%@1267] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.656C tboard@32.125C soc2@39.25C tdiode@32.75C soc0@39.093C gpu@38.375C tj@43.656C soc1@38.218C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2931mW VIN_SYS_5V0 3533mW/3578mW VDDQ_VDD2_1V8AO 706mW/770mW
09-08-2024 03:37:41 RAM 13071/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1267,0%@1267,33%@1267,0%@1267,0%@2201,100%@2201,0%@2201,0%@2201,0%@806,0%@806,0%@806,0%@806] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.25C tboard@32.125C soc2@39.281C tdiode@32.75C soc0@39.187C gpu@38.156C tj@43.25C soc1@38.312C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2977mW VIN_SYS_5V0 3533mW/3576mW VDDQ_VDD2_1V8AO 706mW/767mW
09-08-2024 03:37:41 RAM 13074/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1881,33%@1881,0%@1881,0%@1881,0%@2201,100%@2201,0%@2201,0%@2201,0%@1651,0%@1651,0%@1574,0%@806] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.218C tboard@32.125C soc2@39.343C tdiode@32.75C soc0@39.375C gpu@38.281C tj@43.218C soc1@38.25C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/3019mW VIN_SYS_5V0 3533mW/3575mW VDDQ_VDD2_1V8AO 706mW/764mW
09-08-2024 03:37:41 RAM 13076/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,50%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.937C tboard@32.125C soc2@39.156C tdiode@32.75C soc0@39.156C gpu@38.218C tj@42.937C soc1@38.25C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/3057mW VIN_SYS_5V0 3533mW/3573mW VDDQ_VDD2_1V8AO 706mW/762mW
09-08-2024 03:37:41 RAM 13078/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@806,0%@806,0%@806,0%@806,0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.968C tboard@32.125C soc2@39.187C tdiode@32.75C soc0@39.25C gpu@38.406C tj@42.968C soc1@38.281C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/3093mW VIN_SYS_5V0 3533mW/3571mW VDDQ_VDD2_1V8AO 706mW/760mW
09-08-2024 03:37:41 RAM 13080/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,50%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.906C tboard@32.125C soc2@39.187C tdiode@32.75C soc0@39.25C gpu@38.312C tj@42.906C soc1@38.375C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3984mW/3126mW VIN_SYS_5V0 3533mW/3570mW VDDQ_VDD2_1V8AO 706mW/758mW
09-08-2024 03:37:41 RAM 13081/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.125C tboard@32.125C soc2@39.187C tdiode@32.75C soc0@39.281C gpu@38.531C tj@43.125C soc1@38.187C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3984mW/3157mW VIN_SYS_5V0 3533mW/3569mW VDDQ_VDD2_1V8AO 706mW/756mW
09-08-2024 03:37:41 RAM 13083/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,33%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.093C tboard@32.125C soc2@39.218C tdiode@32.75C soc0@39.187C gpu@38.5C tj@43.093C soc1@38.25C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/3171mW VIN_SYS_5V0 3533mW/3567mW VDDQ_VDD2_1V8AO 706mW/754mW
09-08-2024 03:37:41 RAM 13084/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [50%@1574,0%@1574,0%@1344,0%@1344,0%@2201,100%@2201,0%@2201,0%@2201,0%@1420,0%@806,0%@806,0%@806] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.812C tboard@32.125C soc2@39.156C tdiode@32.75C soc0@39.25C gpu@38.156C tj@42.812C soc1@38.281C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/3185mW VIN_SYS_5V0 3533mW/3566mW VDDQ_VDD2_1V8AO 706mW/753mW
09-08-2024 03:37:41 RAM 13086/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,50%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.875C tboard@32.125C soc2@39.218C tdiode@32.75C soc0@39.187C gpu@38.187C tj@42.875C soc1@38.343C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/3198mW VIN_SYS_5V0 3533mW/3565mW VDDQ_VDD2_1V8AO 706mW/751mW
