09-08-2024 03:49:42 RAM 13129/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@1190,0%@1190,0%@1190,0%@1190,0%@1497,0%@1344,0%@1344,0%@1344] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.968C tboard@29.25C soc2@37.093C tdiode@30.125C soc0@36.656C gpu@35.906C tj@40.968C soc1@35.812C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2696mW VIN_SYS_5V0 3533mW/3546mW VDDQ_VDD2_1V8AO 706mW/797mW
09-08-2024 03:49:42 RAM 13131/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [50%@2201,100%@2201,0%@2201,0%@2201,0%@960,0%@960,0%@960,0%@960,0%@1190,0%@1190,33%@1190,0%@1190] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.781C tboard@29.25C soc2@36.968C tdiode@30.125C soc0@36.687C gpu@35.906C tj@40.781C soc1@35.781C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2752mW VIN_SYS_5V0 3533mW/3546mW VDDQ_VDD2_1V8AO 706mW/793mW
09-08-2024 03:49:42 RAM 13133/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,50%@2201,0%@729,0%@729,0%@729,0%@729,0%@883,0%@883,0%@883,0%@883] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.656C tboard@29.25C soc2@36.968C tdiode@30.125C soc0@36.718C gpu@35.906C tj@40.656C soc1@35.937C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2804mW VIN_SYS_5V0 3533mW/3545mW VDDQ_VDD2_1V8AO 706mW/790mW
09-08-2024 03:49:42 RAM 13135/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@1113,0%@1113,0%@1113,0%@1113,0%@729,0%@729,50%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.687C tboard@29.25C soc2@37C tdiode@30.125C soc0@36.718C gpu@35.875C tj@40.687C soc1@35.875C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3984mW/2851mW VIN_SYS_5V0 3533mW/3545mW VDDQ_VDD2_1V8AO 706mW/786mW
09-08-2024 03:49:42 RAM 13137/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@806,0%@806,0%@806,0%@806,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.625C tboard@29.25C soc2@36.906C tdiode@30.125C soc0@36.75C gpu@35.812C tj@40.625C soc1@35.875C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3984mW/2894mW VIN_SYS_5V0 3533mW/3544mW VDDQ_VDD2_1V8AO 706mW/783mW
09-08-2024 03:49:42 RAM 13138/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,50%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.562C tboard@29.25C soc2@37C tdiode@30.125C soc0@36.75C gpu@35.843C tj@40.562C soc1@35.843C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3984mW/2935mW VIN_SYS_5V0 3533mW/3544mW VDDQ_VDD2_1V8AO 706mW/780mW
09-08-2024 03:49:42 RAM 13141/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.5C tboard@29.25C soc2@36.968C tdiode@30.125C soc0@36.75C gpu@36.031C tj@40.5C soc1@35.906C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/2958mW VIN_SYS_5V0 3533mW/3543mW VDDQ_VDD2_1V8AO 706mW/778mW
09-08-2024 03:49:42 RAM 13142/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.437C tboard@29.25C soc2@36.968C tdiode@30.125C soc0@36.656C gpu@35.781C tj@40.437C soc1@35.875C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/2979mW VIN_SYS_5V0 3533mW/3543mW VDDQ_VDD2_1V8AO 706mW/775mW
09-08-2024 03:49:42 RAM 13142/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.375C tboard@29.25C soc2@36.968C tdiode@30.125C soc0@36.718C gpu@35.718C tj@40.375C soc1@35.906C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/3000mW VIN_SYS_5V0 3533mW/3543mW VDDQ_VDD2_1V8AO 706mW/773mW
09-08-2024 03:49:42 RAM 13143/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.531C tboard@29.25C soc2@36.937C tdiode@30.125C soc0@36.656C gpu@36.031C tj@40.531C soc1@35.875C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/3019mW VIN_SYS_5V0 3432mW/3539mW VDDQ_VDD2_1V8AO 706mW/771mW
09-08-2024 03:49:42 RAM 13145/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@806,0%@806,0%@806,0%@806,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.468C tboard@29.25C soc2@36.937C tdiode@30.125C soc0@36.718C gpu@35.812C tj@40.468C soc1@35.968C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/3036mW VIN_SYS_5V0 3432mW/3536mW VDDQ_VDD2_1V8AO 706mW/769mW
09-08-2024 03:49:42 RAM 13146/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.406C tboard@29.25C soc2@36.937C tdiode@30.125C soc0@36.875C gpu@35.906C tj@40.406C soc1@35.937C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/3053mW VIN_SYS_5V0 3432mW/3533mW VDDQ_VDD2_1V8AO 706mW/767mW
09-08-2024 03:49:42 RAM 13147/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.406C tboard@29.25C soc2@36.875C tdiode@30.125C soc0@36.75C gpu@35.812C tj@40.406C soc1@35.937C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/3068mW VIN_SYS_5V0 3432mW/3530mW VDDQ_VDD2_1V8AO 706mW/765mW
09-08-2024 03:49:42 RAM 13149/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,50%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.406C tboard@29.25C soc2@36.968C tdiode@30.125C soc0@36.75C gpu@35.843C tj@40.406C soc1@35.937C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/3083mW VIN_SYS_5V0 3432mW/3527mW VDDQ_VDD2_1V8AO 706mW/763mW
09-08-2024 03:49:42 RAM 13150/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.343C tboard@29.25C soc2@36.906C tdiode@30.125C soc0@36.687C gpu@36.093C tj@40.343C soc1@35.937C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/3097mW VIN_SYS_5V0 3432mW/3524mW VDDQ_VDD2_1V8AO 706mW/762mW
09-08-2024 03:49:42 RAM 13152/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,50%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.468C tboard@29.25C soc2@36.906C tdiode@30.125C soc0@36.781C gpu@35.968C tj@40.468C soc1@35.812C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/3110mW VIN_SYS_5V0 3432mW/3522mW VDDQ_VDD2_1V8AO 706mW/760mW
