09-08-2024 03:49:32 RAM 13143/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,100%@2201,0%@2201,0%@2201,0%@2201,0%@1113,0%@1113,0%@1113,0%@1113] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.062C tboard@29.125C soc2@36.718C tdiode@29.75C soc0@36.468C gpu@35.5C tj@41.062C soc1@35.625C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2696mW VIN_SYS_5V0 3533mW/3601mW VDDQ_VDD2_1V8AO 706mW/784mW
09-08-2024 03:49:33 RAM 13145/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1267,0%@1267,33%@1267,0%@1267,100%@2201,0%@2201,0%@2201,0%@2201,0%@806,0%@806,0%@806,0%@806] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.906C tboard@29.125C soc2@36.75C tdiode@29.75C soc0@36.468C gpu@35.593C tj@40.906C soc1@35.75C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2752mW VIN_SYS_5V0 3533mW/3598mW VDDQ_VDD2_1V8AO 706mW/780mW
09-08-2024 03:49:33 RAM 13147/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@883,0%@883,0%@883,0%@806,100%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.906C tboard@29.125C soc2@36.718C tdiode@29.75C soc0@36.656C gpu@35.656C tj@40.906C soc1@35.593C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2803mW VIN_SYS_5V0 3533mW/3596mW VDDQ_VDD2_1V8AO 706mW/777mW
09-08-2024 03:49:33 RAM 13149/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.906C tboard@29.125C soc2@36.812C tdiode@29.75C soc0@36.468C gpu@35.5C tj@40.906C soc1@35.656C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3584mW/2834mW VIN_SYS_5V0 3533mW/3593mW VDDQ_VDD2_1V8AO 706mW/774mW
09-08-2024 03:49:33 RAM 13151/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,33%@729,33%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.593C tboard@29.125C soc2@36.75C tdiode@29.75C soc0@36.468C gpu@35.875C tj@40.593C soc1@35.593C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3584mW/2863mW VIN_SYS_5V0 3533mW/3591mW VDDQ_VDD2_1V8AO 706mW/772mW
09-08-2024 03:49:33 RAM 13153/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [33%@729,0%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,0%@1344,0%@1344,0%@1344,0%@1344] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.531C tboard@29.125C soc2@36.75C tdiode@29.75C soc0@36.437C gpu@35.562C tj@40.75C soc1@35.687C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3584mW/2890mW VIN_SYS_5V0 3533mW/3589mW VDDQ_VDD2_1V8AO 706mW/769mW
09-08-2024 03:49:33 RAM 13155/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,50%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,0%@806,0%@806,0%@806,0%@806] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.75C tboard@29.125C soc2@36.781C tdiode@29.75C soc0@36.593C gpu@35.531C tj@40.75C soc1@35.781C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3584mW/2915mW VIN_SYS_5V0 3533mW/3587mW VDDQ_VDD2_1V8AO 706mW/767mW
09-08-2024 03:49:33 RAM 13156/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.625C tboard@29.125C soc2@36.75C tdiode@29.75C soc0@36.531C gpu@35.687C tj@40.625C soc1@35.625C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3584mW/2938mW VIN_SYS_5V0 3533mW/3585mW VDDQ_VDD2_1V8AO 706mW/765mW
09-08-2024 03:49:33 RAM 13158/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,50%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.937C tboard@29.125C soc2@36.75C tdiode@29.75C soc0@36.468C gpu@35.656C tj@40.937C soc1@35.625C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3584mW/2959mW VIN_SYS_5V0 3533mW/3583mW VDDQ_VDD2_1V8AO 706mW/763mW
09-08-2024 03:49:33 RAM 13159/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.625C tboard@29.125C soc2@36.718C tdiode@29.75C soc0@36.593C gpu@35.812C tj@40.625C soc1@35.656C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3584mW/2979mW VIN_SYS_5V0 3533mW/3581mW VDDQ_VDD2_1V8AO 706mW/761mW
