09-08-2024 03:38:25 RAM 13125/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@1651,0%@1651,0%@1651,0%@1651,0%@1344,0%@1344,0%@1344,0%@1344] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.687C tboard@32.25C soc2@39.562C tdiode@32.75C soc0@39.437C gpu@38.468C tj@43.75C soc1@38.562C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 3982mW/2895mW VIN_SYS_5V0 3533mW/3593mW VDDQ_VDD2_1V8AO 706mW/784mW
09-08-2024 03:38:25 RAM 13128/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@1190,33%@1190,0%@1190,0%@1190,0%@806,0%@806,0%@806,0%@806] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.593C tboard@32.25C soc2@39.625C tdiode@32.75C soc0@39.312C gpu@38.281C tj@43.593C soc1@38.343C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2942mW VIN_SYS_5V0 3533mW/3590mW VDDQ_VDD2_1V8AO 706mW/780mW
09-08-2024 03:38:25 RAM 13129/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@1113,0%@1113,0%@1113,0%@1113] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.281C tboard@32.25C soc2@39.5C tdiode@32.75C soc0@39.343C gpu@38.437C tj@43.281C soc1@38.375C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2986mW VIN_SYS_5V0 3533mW/3588mW VDDQ_VDD2_1V8AO 706mW/777mW
09-08-2024 03:38:25 RAM 13131/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@806,0%@806,0%@806,0%@806] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.187C tboard@32.25C soc2@39.562C tdiode@32.75C soc0@39.468C gpu@38.343C tj@43.187C soc1@38.5C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/3025mW VIN_SYS_5V0 3533mW/3586mW VDDQ_VDD2_1V8AO 706mW/774mW
09-08-2024 03:38:25 RAM 13132/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,33%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.062C tboard@32.25C soc2@39.468C tdiode@32.75C soc0@39.343C gpu@38.406C tj@43.062C soc1@38.406C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/3062mW VIN_SYS_5V0 3533mW/3583mW VDDQ_VDD2_1V8AO 706mW/772mW
09-08-2024 03:38:25 RAM 13135/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.968C tboard@32.25C soc2@39.437C tdiode@32.75C soc0@39.375C gpu@38.406C tj@42.968C soc1@38.437C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/3096mW VIN_SYS_5V0 3533mW/3582mW VDDQ_VDD2_1V8AO 706mW/769mW
09-08-2024 03:38:25 RAM 13136/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,50%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.031C tboard@32.25C soc2@39.5C tdiode@32.75C soc0@39.406C gpu@38.468C tj@43.031C soc1@38.562C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/3128mW VIN_SYS_5V0 3533mW/3580mW VDDQ_VDD2_1V8AO 706mW/767mW
09-08-2024 03:38:25 RAM 13137/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,50%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.031C tboard@32.25C soc2@39.5C tdiode@32.75C soc0@39.375C gpu@38.375C tj@43.031C soc1@38.437C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/3157mW VIN_SYS_5V0 3533mW/3578mW VDDQ_VDD2_1V8AO 706mW/765mW
09-08-2024 03:38:25 RAM 13138/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,50%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,33%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.093C tboard@32.25C soc2@39.531C tdiode@32.75C soc0@39.343C gpu@38.625C tj@43.093C soc1@38.437C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3584mW/3172mW VIN_SYS_5V0 3533mW/3577mW VDDQ_VDD2_1V8AO 706mW/763mW
09-08-2024 03:38:25 RAM 13140/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@806,0%@806,0%@806,0%@806] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.031C tboard@32.25C soc2@39.468C tdiode@32.75C soc0@39.406C gpu@38.406C tj@43.031C soc1@38.625C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3584mW/3185mW VIN_SYS_5V0 3533mW/3575mW VDDQ_VDD2_1V8AO 706mW/761mW
