09-08-2024 03:49:28 RAM 13137/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@2201,100%@2201,33%@2201,0%@2201,0%@1036,0%@1036,0%@1036,0%@1036] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.562C tboard@29.125C soc2@36.718C tdiode@29.75C soc0@36.468C gpu@35.593C tj@40.562C soc1@35.593C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2751mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13139/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.5C tboard@29.125C soc2@36.75C tdiode@29.75C soc0@36.468C gpu@35.75C tj@40.5C soc1@35.687C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2804mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13141/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1651,0%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@1651,50%@1651,0%@1651,0%@1651] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.437C tboard@29.125C soc2@36.718C tdiode@29.75C soc0@36.468C gpu@35.687C tj@40.437C soc1@35.75C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2853mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13143/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,50%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@1113,0%@1113,0%@1113,0%@1113] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.343C tboard@29.125C soc2@36.781C tdiode@29.75C soc0@36.625C gpu@35.437C tj@40.343C soc1@35.656C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2898mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13146/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@883,0%@883,0%@883,0%@883] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.625C tboard@29.125C soc2@36.75C tdiode@29.75C soc0@36.468C gpu@35.562C tj@40.625C soc1@35.656C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3984mW/2940mW VIN_SYS_5V0 3432mW/3529mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13148/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,33%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.343C tboard@29.125C soc2@36.718C tdiode@29.75C soc0@36.468C gpu@35.718C tj@40.343C soc1@35.656C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/2964mW VIN_SYS_5V0 3432mW/3525mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13149/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [33%@729,0%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.406C tboard@29.125C soc2@36.687C tdiode@29.75C soc0@36.468C gpu@35.625C tj@40.406C soc1@35.562C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/2986mW VIN_SYS_5V0 3432mW/3522mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13150/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [33%@729,0%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.375C tboard@29.125C soc2@36.718C tdiode@29.75C soc0@36.437C gpu@35.468C tj@40.375C soc1@35.531C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/3007mW VIN_SYS_5V0 3432mW/3519mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13151/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,50%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,0%@1420] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.218C tboard@29.125C soc2@36.75C tdiode@29.75C soc0@36.406C gpu@35.593C tj@40.218C soc1@35.625C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/3026mW VIN_SYS_5V0 3432mW/3516mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13152/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@960,0%@960,0%@960,0%@960] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.281C tboard@29.125C soc2@36.687C tdiode@29.75C soc0@36.468C gpu@35.5C tj@40.281C soc1@35.718C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3585mW/3044mW VIN_SYS_5V0 3432mW/3513mW VDDQ_VDD2_1V8AO 706mW/706mW
